Estado,Ano,Mês,Precipitação Total (mm),Pressão atmosférica média (mB),Radiação global média (Kj/m²),Temperatura média do ar (°C),Temperatura máxima (°C),Temperatura mínima (°C),Umidade relativa média (%),Velocidade média do vento (m/s)
DF,2018,1,660.8,894.9932896890343,1587.734496124031,22.0278777959629,33.1,11.9,73.02454991816694,2.0200545702592088
DF,2018,2,900.2,894.330856460758,1537.19520174482,21.744046553267683,30.5,13.6,78.18740674425544,2.133422858848105
DF,2018,3,1088.8,894.8191280653951,1453.157894736842,22.140190735694823,32.4,14.3,78.1700272479564,1.8502179836512263
DF,2018,4,537.2,896.8073950514319,1295.6417171161254,20.84854045037531,31.3,12.7,77.90853489018626,2.198192938559911
DF,2018,5,108.6,897.9423586691912,1518.903804347826,19.934757911820395,29.3,9.2,67.46172572355964,2.33897754936435
DF,2018,6,0.0,898.9757524134016,1459.7000579038795,19.65684270300965,29.8,6.8,60.097671777399206,2.2178074410678783
DF,2018,7,0.0,898.8326344086021,1568.2155913978495,19.581854838709678,30.4,7.0,53.123118279569894,2.3111559139784945
DF,2018,8,112.2,898.2182795698925,1556.965975544923,21.79575268817204,32.7,8.1,50.903737563861256,2.353724119386932
DF,2018,9,216.2,895.4434806783431,1797.4523293607801,23.465471226021684,35.7,9.1,46.00222593210907,2.313709677419355
DF,2018,10,954.0,894.7205169628432,1355.92,23.335998922994076,34.5,14.3,67.96520097113569,1.9825969827586205
DF,2018,11,1775.8,894.5188409854422,1200.409820585458,21.276791713325867,31.5,14.1,81.66657334826428,2.0642296918767506
DF,2018,12,833.4,895.4746630727763,1439.0041417395305,21.95946091644205,33.8,12.1,74.81975175391257,2.100161855948206
DF,2019,1,429.6,896.9296441580275,1749.8968674698795,22.979798262818715,33.6,13.4,67.57351700871521,2.0945347533632286
DF,2019,2,905.2,895.3081468218443,1501.4311279826463,22.496180244703073,34.2,14.6,76.57326555023923,1.856
DF,2019,3,1130.0,896.0398218142549,1339.1656804733727,21.98787796976242,32.7,14.9,80.16211096075779,1.8778108108108107
DF,2019,4,1136.0,896.106477620239,1343.5795454545455,21.833138726716708,30.6,14.8,80.02895322939867,1.5654156241312205
DF,2019,5,374.6,896.7347043010753,1433.0090811965813,21.440672043010753,30.1,10.9,73.36586021505376,1.7988440860215054
DF,2019,6,12.799999999999999,899.3772992497916,1487.4843049327353,19.56676854681856,29.8,9.1,64.55126424006669,2.435901001112347
DF,2019,7,0.2,898.9413172043011,1558.1878035617917,19.212231182795698,31.1,5.7,54.95887096774194,2.473392520850148
DF,2019,8,0.0,899.459158751696,1631.5061072756241,21.641519674355497,32.6,8.9,46.94789687924016,2.7363907734056987
DF,2019,9,22.0,896.7360770089286,1817.0569239189929,24.63060825892857,36.2,10.1,39.77037661607645,2.6253348214285714
DF,2019,10,361.0,894.8731081081081,1619.3132880698352,24.45610810810811,36.0,12.4,52.78437244759053,2.258450704225352
DF,2019,11,1038.6,893.8942194917621,1417.6981312889316,22.997905612957275,34.9,13.9,70.49169248099128,2.012079596412556
DF,2019,12,1230.4,894.7850779510022,1458.7566932832315,22.750556792873052,32.7,14.3,74.25811870100785,2.0376218323586746
DF,2020,1,1972.2,894.504601722282,1396.033985102421,22.42914424111948,33.3,13.7,79.41752298539751,2.150471063257066
DF,2020,2,1647.8,895.6454912129069,1367.0755995828988,21.928694900605013,32.4,15.9,81.60139049826188,1.807035755478662
DF,2020,3,1656.2,895.2833704115684,1369.568295114656,21.917074527252502,32.7,14.9,80.86581291759465,2.008317107093185
DF,2020,4,1075.6,896.8105820105819,1357.061310782241,21.616736285157337,32.6,12.7,79.3164521544488,1.9910609857978279
DF,2020,5,123.60000000000001,897.9020458265139,1420.4045185583648,19.620185488270597,29.8,6.0,73.26357435197818,1.9514597544338337
