Estado,Precipitacao Total,Pressao atmosferica media,Radiacao global media,Temperatura media do ar,Temperatura maxima,Temperatura minima,Umidade relativa media,Velocidade media do vento,Data
DF,2640.4,894.0646274984857,1279.316612729234,21.24130829800121,32.1,14.8,84.16100667070953,1.7986642380085005,2021-02
DF,539.2,895.2975874220656,1533.91072319202,21.893900786120906,32.4,11.2,72.67483660130719,1.8711303876389267,2021-03
DF,497.8,895.7630452903585,1424.0158469945354,21.06860238955265,31.7,8.8,73.1364522417154,1.8615063924402449,2021-04
GO,0.4,933.2192307692308,1624.309523809524,21.773076923076925,30.7,15.5,74.78461538461538,1.3757575757575755,2001-05
GO,2.0,934.3337771548704,1389.6943661971832,19.46278906797477,30.5,5.4,69.29992992291521,1.5510161177295023,2001-06
GO,0.0,934.1161849710984,1414.2016666666666,20.12502064409579,33.6,8.2,60.328654004954586,1.6216350123864574,2001-07
GO,38.2,934.9385014836796,1667.6875,21.51259314456036,39.6,9.6,50.89046199701937,2.431865671641791,2001-08
GO,251.4,931.0206790123456,1551.304804804805,23.681404320987653,36.2,8.7,55.6820987654321,2.0135802469135804,2001-09
GO,259.2,930.02003257329,1387.655223880597,23.094299674267106,34.5,14.5,71.95276872964169,1.819869706840391,2001-10
GO,371.8,929.106479859895,1326.5431164901663,23.39851007887818,32.8,17.8,78.72743207712533,1.4633099824868652,2001-11
GO,441.2,928.672539229672,1293.9299754299757,23.54243937232525,34.5,15.9,77.79172610556348,1.6509985734664765,2001-12
GO,353.4,928.455805580558,1535.9130434782608,23.97596759675968,34.4,16.9,77.04410441044105,1.7391539153915392,2002-01
GO,510.0,930.1006446414182,1392.727678571429,23.34254633360193,32.6,16.6,80.05560032232071,1.434327155519742,2002-02
GO,272.4,931.2620491803278,1635.17921686747,24.196726677577743,33.2,16.4,71.96481178396073,1.4717444717444716,2002-03
GO,48.2,930.6238396624472,1685.254397834912,23.83016877637131,32.5,14.3,66.80942334739802,1.5355836849507736,2002-04
GO,7.8,931.9860733695652,1455.3297297297297,21.945652173913043,33.5,9.2,66.67663043478261,1.475475543478261,2002-05
GO,0.0,934.495111111111,1376.361607142857,20.5496301775148,31.3,10.1,58.77440828402367,1.5005917159763311,2002-06
GO,5.4,933.9536731634182,1349.7955882352942,21.400299401197604,32.8,8.9,55.31362275449102,1.7009730538922156,2002-07
GO,12.8,933.147304964539,1580.9453781512605,23.70602409638554,35.2,11.6,44.48901488306166,2.1242381289865344,2002-08
GO,96.4,931.6966666666666,1521.6074895977808,23.554335260115607,34.7,4.5,53.19580924855492,2.027456647398844,2002-09
GO,80.39999999999999,929.1156033820138,1664.359612724758,26.676249039200616,37.6,16.8,48.26902382782475,1.663412759415834,2002-10
GO,214.2,929.8663410969197,1341.7882352941176,24.26868913857678,34.8,18.2,71.87041198501872,1.4508614232209738,2002-11
GO,477.6,929.527808599168,1423.6912991656734,24.42062283737025,36.2,18.7,75.18269896193772,1.35840830449827,2002-12
GO,567.2,929.8930962343096,1447.6393034825871,23.76181184668989,33.9,19.2,80.22020905923345,1.6587456445993032,2003-01
GO,486.2,930.892469879518,1694.3820689655172,24.05863363363364,33.8,16.9,75.56006006006007,1.382357357357357,2003-02
GO,425.6,930.6206720233748,1380.3838926174496,23.298392987582176,33.3,16.8,78.42147552958363,1.2219868517165815,2003-03
GO,226.6,931.7793604651162,1453.952857142857,23.19956395348837,33.0,14.1,75.4265988372093,1.3143168604651163,2003-04
GO,14.2,932.7583202511776,1417.7225705329154,20.11349019607843,32.7,7.1,69.38745098039216,1.4928627450980392,2003-05
GO,1.6,933.4238700564972,1418.5280898876404,20.193154551870148,32.1,8.3,61.87085391672548,1.231545518701482,2003-06
GO,0.0,934.9974167233174,1449.3342428376534,19.965217391304343,32.6,7.5,54.817934782608695,1.7419836956521737,2003-07
GO,12.6,933.7063920454548,1529.717270194986,21.727974504249293,33.9,5.7,52.20184135977337,1.794830028328612,2003-08
GO,52.6,932.755052631579,1494.9309701492537,24.68664563617245,38.5,13.0,52.39116719242902,2.032807570977918,2003-09
GO,61.4,931.1857777777776,1434.7537313432836,24.77577777777778,36.8,15.1,60.56666666666667,1.4247216035634744,2003-10
GO,125.2,930.5133671742808,1358.536231884058,24.200000000000003,34.3,18.3,73.4906937394247,1.3257191201353635,2003-11
GO,202.0,930.6636746143056,1531.5458823529411,25.04810659186536,35.7,17.8,70.76157082748948,1.250210378681627,2003-12
GO,347.2,928.921293800539,1166.2367149758454,23.67129380053908,32.1,19.0,81.45687331536388,1.1059299191374663,2004-01
GO,298.2,931.1743703703704,1309.8111111111111,23.06607407407408,32.2,16.8,82.18814814814814,1.007111111111111,2004-02
GO,256.6,931.084487534626,1533.3702770780856,23.46422651933701,33.1,16.0,77.45027624309392,1.1374309392265194,2004-03
